ajoneuvoluokka;ensirekisterointipvm;ajoneuvoryhma;ajoneuvonkaytto;variantti;versio;kayttoonottopvm;vari;ovienLukumaara;korityyppi;ohjaamotyyppi;istumapaikkojenLkm;omamassa;teknSuurSallKokmassa;tieliikSuurSallKokmassa;ajonKokPituus;ajonLeveys;ajonKorkeus;kayttovoima;iskutilavuus;suurinNettoteho;sylintereidenLkm;ahdin;sahkohybridi;merkkiSelvakielinen;mallimerkinta;vaihteisto;vaihteidenLkm;kaupallinenNimi;voimanvalJaTehostamistapa;tyyppihyvaksyntanro;yksittaisKayttovoima;kunta;Co2;matkamittarilukema;alue;valmistenumero2;jarnro
M1;2014-03-28;;01;B;B02;20140328;1;4;AF;;5;1605;2005;;4380;1806;1590;02;1598;96;4;true;false;Nissan;NISSAN QASHQAI Monikäyttöajoneuvo (AF) 4ov 1598cm3;3;;NISSAN QASHQAI;05;e11*2007/46*0963*01;02;405;119;63599;531;SJNFDAJ11U;4383592
M1;2014-06-06;;01;AC4CRKBX0;FM6FM62S030B7MJOVLVR2;20140606;Y;5;AC;;5;1280;1740;;4349;1799;1491;02;1598;81;4;true;false;Volkswagen, VW;GOLF Farmari (AC) 5ov 1598cm3;1;6;GOLF;05;e1*2007/46*0623*09;02;272;85;34686;673;WVWZZZAUZE;4384814
M1;2014-04-28;;01;C5P21;M61AZ1;20140428;6;4;AC;;5;1335;1820;;4505;1780;1485;01;1396;73.2;4;false;false;Kia;CEED Farmari (AC) 4ov 1396cm3;1;6;CEED;05;e4*2007/46*0496*04;01;398;136;34053;156;U5YHM811AE;4386380
M1;2015-01-09;;01;BW81;BW8156??;20150109;1;4;AC;;5;1872;2390;;4814;1876;1547;02;2400;133;5;true;false;Volvo;V70 Farmari (AC) 4ov 2400cm3 A;2;6;V70;05;e9*01/116*0065*25;02;740;164;;572;YV1BW8156E;4387731
M1;2015-03-27;;01;124GQ2;HZAAB500;20150108;2;5;AC;;5;1370;1935;;4359;1790;1438;01;1595;90;4;true;false;Mercedes-Benz;A 180 Farmari (AC) 5ov 1595cm3;1;6;A 180;05;e1*01/116*0470*07;01;564;128;;902;WDD1760421;4389485
M1;2015-03-31;;01;3;2;20150331;2;4;AF;;5;1727;2200;;4570;1895;1685;02;2199;110;4;true;false;Honda;HONDA CR-V Monikäyttöajoneuvo (AF) 4ov 2199cm3;1;6;HONDA CR-V;05;e11*01/116*0302*09;02;109;149;;135;SHSRE6780E;4390823
M1;2014-04-08;;01;MV84;MV848B??;20140408;0;4;AF;;5;1526;1940;;4369;1802;1420;02;1560;84;4;true;false;Volvo;V40 Monikäyttöajoneuvo (AF) 4ov 1560cm3 A;2;6;V40;05;e4*01/116*0076*32;02;297;102;65981;708;YV1MV848BE;4392397
M1G;2014-04-17;;01;DZ81;DZ8156??;20140417;0;4;AC;;5;1904;2505;;4644;1891;1713;02;2400;133;5;true;false;Volvo;XC60 Farmari (AC) 4ov 2400cm3 A;2;6;XC60;05;e9*01/116*0068*17;02;624;169;46090;492;YV1DZ8156E;4394061
M1;2014-04-30;;01;M1DA1M;5CGAMC;20140430;1;4;AA;;5;1306;1900;;4639;1823;1484;01;998;92;3;true;false;Ford;FOCUS Sedan (AA) 4ov 998cm3;1;6;FOCUS;05;e13*2007/46*1138*11;01;260;117;51869;598;WF0MXXGCBM;4395873
M1;2014-04-09;;01;ACCLHAX0;NFM5FM5A4051STVL7;20140409;0;4;AC;;5;1327;1897;;4781;1814;1495;02;1598;77;4;true;false;Skoda;OCTAVIA Farmari (AC) 4ov 1598cm3;1;5;OCTAVIA;05;e11*2007/46*0243*08;02;091;99;43928;002;TMBJG7NE8E;4397198
M1;2014-06-10;;01;ACCFGCX1;AD6AD62E083STP07MJSNVR2O;20140610;0;5;AC;;5;1672;2280;;4881;1820;1536;02;1968;130;4;true;false;Volkswagen, VW;PASSAT Farmari (AC) 5ov 1968cm3 A;2;6;PASSAT;05;e1*01/116*0307*35;02;734;149;80884;252;WVWZZZ3CZE;4398880
M1;2014-04-22;;01;VACCRKBX0;FM6FM62S030B7MJOVL00VR2;20140422;6;5;AC;;5;1391;1800;;4657;1799;1496;02;1598;81;4;true;false;Volkswagen, VW;GOLF Farmari (AC) 5ov 1598cm3;1;6;GOLF;05;e1*2007/46*0627*06;02;430;87;90430;322;WVWZZZAUZE;4400837
M1;2014-11-12;;01;C5D31;A61EZ1;20141112;Y;4;AC;;5;1475;1940;;4505;1780;1485;02;1582;94;4;true;false;Kia;CEED Farmari (AC) 4ov 1582cm3 A;2;6;CEED;05;e4*2007/46*0496*05;02;202;149;;207;U5YHN816BE;4402616
M1;2014-11-12;;01;H7S2M1;NZCEA500;20141112;8;5;AC;;5;1880;2455;;4569;1840;1699;02;2143;125;4;true;false;Mercedes-Benz;GLK 220 CDI 4MATIC Farmari (AC) 5ov 2143cm3 A;2;7;GLK 220 CDI 4MATIC;05;e1*01/116*0480*14;02;106;159;;058;WDC2049841;4404097
M1;2015-08-31;;01;545;61W0;20150831;2;4;AB;;5;1265;1800;;4465;1795;1465;01;1496;74;4;false;false;Mazda;MAZDA 3 Viistoperä (AB) 4ov 1496cm3;1;6;MAZDA 3;05;e11*01/116*0262*11;01;049;119;;021;JMZBM54561;4406078
M1;2014-11-17;;01;D;D01;20141117;7;4;AF;;5;1419;1860;;4380;1806;1590;01;1197;85;4;true;false;Nissan;NISSAN QASHQAI Monikäyttöajoneuvo (AF) 4ov 1197cm3;1;6;NISSAN QASHQAI;05;e11*2007/46*0963*01;01;402;129;37514;719;SJNFEAJ11U;4408283
M1;2014-12-31;;01;ABCJZD;FM6FM62U009N2VR27MM;20141231;9;5;AB;;5;1135;1600;;4074;1682;1476;01;1197;81;4;true;;Volkswagen, VW;POLO Viistoperä (AB) 5ov 1197cm3;1;6;POLO;05;e1*01/116*0510*20;01;257;110;2600;024;WVWZZZ6RZF;4410164
M1;2014-05-12;;01;NSP13F(MH);NSP130L-CHFNKW(4G);20140512;2;4;AF;;5;1100;1470;;3885;1695;1510;01;1329;73;4;false;false;Toyota;TOYOTA YARIS Monikäyttöajoneuvo (AF) 4ov 1329cm3;1;6;TOYOTA YARIS;05;e11*2007/46*0152*06;01;611;123;33400;071;VNKKJ3D370;4412086
M1;2014-09-11;;01;M1DA1K;5CGALC;20140911;0;4;AB;;5;1279;1900;;4513;1823;1484;01;998;92;3;true;false;Ford;FOCUS Viistoperä (AB) 4ov 998cm3;1;6;FOCUS;05;e13*2007/46*1138*11;01;694;114;31164;111;WF0KXXGCBK;4414053
M1;2014-05-22;;01;ACCFFBX0;FD6FD62E018STP07MJSNVR2O;20140522;9;5;AC;;5;1601;2210;;4881;1820;1536;02;1968;103;4;true;false;Volkswagen, VW;PASSAT Farmari (AC) 5ov 1968cm3 A;2;6;PASSAT;05;e1*01/116*0307*35;02;398;135;71850;152;WVWZZZ3CZE;4415482
M1;2014-08-11;;01;GPDA1S;5KACMP;20100310;Y;4;AC;;5;1391;1885;1885;4597;1839;1537;02;1560;66;4;true;false;Ford;FOCUS Farmari (AC) 4ov 1560cm3;1;5;FOCUS;05;e13*01/116*0144*18;02;202;115;165381;215;WF0SXXGCDS;4417764
M1;2014-07-18;;01;M2DA1J;5CCAMB;20140718;9;4;AF;;5;1391;1900;;4491;1828;1626;01;998;74;3;true;false;Ford;C-MAX Monikäyttöajoneuvo (AF) 4ov 998cm3;1;6;C-MAX;05;e13*2007/46*1103*12;01;702;117;76185;348;WF0JXXWPBJ;4419657
M1;2014-08-06;;01;J216F0;SJBBAA0;20030131;0;4;AC;;5;1775;2330;2330;4839;1799;1477;02;2685;125;6;true;false;Mercedes-Benz;E 270 CDI Farmari (AC) 4ov 2685cm3 A;2;;E 270 CDI;05;e1*93/81*0033*21;02;609;193;288507;283;WDB2102161;4421451
M1;2014-06-06;;01;ACCJZAX0;NFM6FM6AJ009STVL7;20140606;6;4;AC;;5;1252;1822;;4781;1814;1495;01;1197;77;4;true;false;Skoda;OCTAVIA Farmari (AC) 4ov 1197cm3;1;6;OCTAVIA;05;e11*2007/46*0243*08;01;853;117;79156;205;TMBJB7NE4E;4423203
